French,English
Quel est votre métier?,What is your profession?
Je travaille dans...,I work in...
Où se trouve la salle de réunion?,Where is the meeting room?
Pouvez-vous m'envoyer un e-mail?,Can you send me an email?
Quel est le délai pour ce projet?,What is the deadline for this project?
Je suis en congé,I am on vacation
Pouvons-nous reporter la réunion?,Can we reschedule the meeting?
Avez-vous fini le rapport?,Have you finished the report?
Je suis en télétravail aujourd'hui,I'm working from home today
Quelles sont mes responsabilités?,What are my responsibilities?
Qui est le responsable de ce projet?,Who is in charge of this project?
Puis-je prendre un jour de congé?,Can I take a day off?
Quel est votre numéro de téléphone professionnel?,What is your work phone number?
Pouvez-vous me faire un compte rendu?,Can you give me a summary?
J'ai besoin d'aide pour ce dossier,I need help with this file
À quelle heure commence la réunion?,What time does the meeting start?
Avez-vous des questions?,Do you have any questions?
Je suis nouveau/nouvelle ici,I'm new here
Où puis-je imprimer ce document?,Where can I print this document?
Bon travail!,Good job!