CopyGerman,English
Du siehst sehr gut aus,You look very good
Darf ich dich auf einen Drink einladen?,May I invite you for a drink?
Kommst du öfter hierher?,Do you come here often?
Ich würde dich gerne besser kennenlernen,I'd like to get to know you better
Hättest du Lust auf einen Kaffee?,Would you like to go for coffee sometime?
Du hast ein schönes Lächeln,You have a beautiful smile
Was machst du beruflich?,What do you do for a living?
Hast du Pläne fürs Wochenende?,Do you have any plans for the weekend?
Ich mag deinen Stil,I like your style
Können wir Nummern austauschen?,Could we exchange numbers?
Hast du Geschwister?,Do you have any siblings?
Welche Art von Musik magst du?,What kind of music do you like?
Ich genieße die Zeit mit dir,I'm enjoying the time with you
Hast du Haustiere?,Do you have any pets?
Was ist dein Lieblingsfilm?,What's your favorite movie?
Reist du gerne?,Do you like to travel?
Können wir uns wiedersehen?,Could we see each other again?
Treibst du Sport?,Do you play any sports?
Ich mag deinen Humor,I like your sense of humor
Ich freue mich, dich kennengelernt zu haben,I'm glad to have met you