German,English
Hallo,Hello
Auf Wiedersehen,Goodbye
Bitte,Please
Danke,Thank you
Entschuldigung,Excuse me
Wie geht es Ihnen?,How are you?
Ich heiße...,My name is...
Freut mich,Nice to meet you
Ja,Yes
Nein,No
Ich verstehe nicht,I don't understand
Können Sie das wiederholen?,Can you repeat that?
Sprechen Sie Englisch?,Do you speak English?
Ich spreche kein Deutsch,I don't speak German
Wo ist die Toilette?,Where is the restroom?
Wie spät ist es?,What time is it?
Wie viel kostet das?,How much does it cost?
Was kostet das?,How much is it?
Ich habe mich verirrt,I am lost
Hilfe!,Help!